,Date,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,latitude,max_fluctuations,kp_indices
73,2019-07-15,0,5.28,2.60,9.14,-4.42,-7.68,5.26,1.76,-3.27,5.41,-0.08,-6.28,3.83,140.45,5.72,335.14,-0.93,-67.91,34.91,2.18,0.54,4.78,440.89,396.70,489.59,92247,33155,192899,-0.9632292329369301,16.14289317315827,0.5558292247523565
74,2019-07-16,0,3.77,1.13,5.77,-3.1,-5.13,0.87,1.86,-1.04,4.36,-0.7,-2.89,1.41,149.81,69.35,271.07,-10.11,-60.79,46.02,3.02,0.65,8.05,378.83,360.96,436.47,50015,18704,130313,-10.76331501149145,16.14289317315827,0.06582493582463056
75,2019-07-17,0,4.32,2.51,6.46,-3.04,-5.60,3.65,2.05,-3.48,5.12,-0.45,-4.01,3.20,144.23,26.93,325.00,-6.40,-51.08,38.33,2.30,0.67,5.87,433.80,378.40,486.29,81358,28375,193626,-6.945259203717673,16.14289317315827,0.2567277262133194
76,2019-07-18,0,4.01,1.32,6.23,-1.43,-5.45,4.01,0.21,-3.29,4.39,0.36,-2.98,2.84,155.03,21.67,354.24,5.51,-72.11,52.92,3.03,0.89,7.18,384.77,357.71,417.55,53416,19711,118717,13.587384318502703,16.14289317315827,1.2833599023243383
77,2019-07-19,0,2.67,1.02,3.91,-0.82,-3.24,3.66,-1.51,-3.02,2.47,-0.24,-2.28,1.86,259.57,5.27,356.64,-5.02,-70.99,51.54,1.34,0.62,2.76,353.51,325.50,376.75,36488,10741,106125,-7.8758231997495765,16.14289317315827,0.21019952641172424
78,2019-07-20,0,4.07,2.22,4.75,-2.05,-4.67,-0.26,-1.43,-4.02,1.25,1.04,-1.07,2.96,212.06,157.87,264.68,15.95,-18.36,46.66,1.47,0.53,3.38,322.37,314.74,332.44,12630,10050,54869,21.01472684500912,16.14289317315827,1.654727028649659
79,2019-07-21,0,4.41,2.95,9.16,-2.31,-4.61,2.87,-1.42,-8.96,3.36,-0.16,-3.96,7.73,219.73,120.94,315.03,-1.90,-76.98,67.55,1.57,0.58,13.47,334.22,305.81,364.45,38940,12568,131744,-3.3710780324106047,16.14289317315827,0.4354367847786728
80,2019-07-22,0,4.94,1.37,9.56,1.33,-4.24,5.00,-0.09,-8.49,5.68,0.51,-7.83,8.71,348.70,1.21,358.93,7.77,-69.58,79.20,1.62,0.17,10.04,377.54,318.42,436.33,58142,16468,159843,19.663104050267634,16.14289317315827,1.587145888912585
81,2019-07-23,0,3.35,1.28,6.01,1.85,-2.36,4.44,-1.11,-4.08,3.56,0.52,-3.26,4.40,337.24,2.97,356.52,10.24,-69.14,64.77,1.34,0.27,3.36,403.78,370.01,433.74,73302,21214,173133,13.187355879073138,16.14289317315827,1.26335848035286
82,2019-07-24,0,4.00,1.72,5.66,0.63,-3.55,3.68,-2.84,-5.59,3.46,0.7,-3.63,3.82,280.26,10.18,355.54,10.16,-57.81,66.17,0.83,0.10,6.27,381.37,360.50,416.35,45581,18398,100979,13.167608486959402,16.14289317315827,1.2623711107471731
83,2019-07-25,0,3.42,2.37,4.63,0.66,-3.40,3.05,-2.58,-4.48,0.14,0.72,-2.62,3.30,285.45,100.73,346.13,11.72,-55.13,70.24,3.76,1.84,7.66,361.08,345.20,383.63,37958,18451,99837,14.627492076322396,16.14289317315827,1.3353652902153228
84,2019-07-26,0,3.49,2.30,4.15,-0.21,-2.67,2.63,-2.73,-3.99,-0.57,1.26,-1.58,2.91,268.32,213.21,346.33,20.93,-27.19,59.82,2.55,0.99,11.23,338.03,305.84,355.49,28744,13339,81469,22.686869140029682,16.14289317315827,1.7383341434006871
85,2019-07-27,0,4.24,2.41,7.24,2.19,-2.02,5.45,-3.0,-5.00,1.53,-0.37,-5.44,2.99,303.09,21.82,353.64,-6.05,-66.45,37.64,2.71,1.39,7.37,309.49,288.93,335.11,21044,11257,66564,-5.660902273296503,16.14289317315827,0.3209455727343779
86,2019-07-28,0,4.12,1.89,5.51,-2.89,-5.15,4.33,1.26,-2.27,3.91,0.34,-3.59,2.33,141.15,4.25,357.16,4.79,-57.25,49.16,5.04,2.36,13.36,351.54,330.59,366.17,41699,20592,82873,6.119951613468698,16.14289317315827,0.909988267072638
87,2019-07-29,0,3.15,1.92,5.27,-1.98,-4.31,1.93,1.19,-2.75,4.47,-0.3,-3.59,4.06,144.94,19.81,267.55,-5.74,-82.86,55.19,5.51,1.72,8.81,364.69,342.25,385.11,40528,17834,91046,-7.338378381306253,16.14289317315827,0.2370717673338904
88,2019-07-30,0,4.27,2.06,10.85,-0.76,-7.49,5.88,0.76,-9.45,5.96,-0.37,-7.21,7.66,204.35,3.69,349.20,-5.66,-63.91,59.88,1.75,0.21,10.86,352.97,317.36,464.23,40077,17357,175526,-18.030172425333408,16.14289317315827,-0.29751793486746736
89,2019-07-31,0,7.46,2.76,9.95,4.69,-6.37,9.04,-2.47,-7.77,3.80,2.25,-4.18,7.71,319.92,2.53,358.61,18.84,-45.22,73.04,3.59,0.49,7.28,470.51,416.60,514.28,194233,46304,367535,21.342158052151255,16.14289317315827,1.6710985890067658
90,2019-08-01,0,3.39,1.37,5.91,0.47,-2.56,3.23,-2.24,-5.11,2.50,1.01,-3.30,3.74,286.57,3.77,355.49,17.79,-68.13,75.58,2.06,0.77,9.94,516.87,458.94,593.52,106378,40259,633860,21.985030114540155,16.14289317315827,1.7032421921262109
91,2019-08-02,0,2.67,0.44,3.37,1.93,-2.10,2.95,-1.03,-2.81,0.55,0.46,-2.00,2.22,322.12,2.02,358.27,13.07,-43.77,82.80,2.40,0.85,5.96,444.44,385.96,494.38,59923,16043,177986,11.627555109486323,16.14289317315827,1.185368441873519
